Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
14727406,00000480,false,Rx,0,8,00,01,FF,21,00,02,02,04,
14736368,000003B4,false,Rx,0,8,64,03,09,53,FE,04,E8,09,
14747967,00000192,false,Rx,0,4,6A,00,FF,F4,00,00,00,00,
14775935,000001D6,false,Rx,0,2,FF,3F,00,00,00,00,00,00,
14781918,00000130,false,Rx,0,5,00,EF,34,3F,F2,00,00,00,
14783595,000000C4,false,Rx,0,7,00,80,FD,00,80,0C,FF,00,
14784706,000001D6,false,Rx,0,2,FF,3F,00,00,00,00,00,00,
14787665,000005E0,false,Rx,0,8,10,00,00,01,00,FF,FF,FF,
14793561,000000C4,false,Rx,0,7,00,80,FD,00,80,34,FF,00,
14797095,00000480,false,Rx,0,8,00,02,FF,21,00,00,02,04,
14802992,00000192,false,Rx,0,4,6A,00,FF,F6,00,00,00,00,
14803549,000000C4,false,Rx,0,7,00,80,FD,00,80,5C,FF,00,
14803834,00000498,false,Rx,0,8,18,01,FF,FF,FF,FF,FF,FF,
14804035,000000B5,false,Rx,0,8,84,00,80,00,08,0C,00,3A,
14804227,000000BA,false,Rx,0,7,01,FF,0F,00,00,4B,80,00,
14804420,000001A2,false,Rx,0,2,00,00,00,00,00,00,00,00,
14804612,000001D2,false,Rx,0,5,F0,0C,80,0C,F0,00,00,00,
14809232,000001D6,false,Rx,0,2,C0,0C,00,00,00,00,00,00,
14810991,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
14813575,000000C4,false,Rx,0,7,00,80,FD,00,80,84,FF,00,
14813860,000000B5,false,Rx,0,8,85,01,80,00,08,0C,00,3A,
14823345,00000130,false,Rx,0,5,80,EF,34,3F,93,00,00,00,
14823720,000000C4,false,Rx,0,7,00,80,FD,00,80,AC,FF,00,
14823917,000000B5,false,Rx,0,8,86,02,80,00,08,0C,00,3A,
14824118,000000BA,false,Rx,0,7,01,FF,0F,00,00,4C,81,00,
14824310,000001A2,false,Rx,0,2,00,00,00,00,00,00,00,00,
14832279,00000192,false,Rx,0,4,6A,00,80,F7,00,00,00,00,
14833591,000000C4,false,Rx,0,7,00,80,FD,00,80,D4,FF,00,
14833876,000000B5,false,Rx,0,8,C9,83,3E,E8,23,0C,00,3A,
14841430,00000330,false,Rx,0,8,BA,61,03,04,00,0B,A5,01,
14841898,000000A8,false,Rx,0,8,CA,00,00,00,00,0F,0F,04,
14842099,000000A9,false,Rx,0,8,A9,00,00,00,00,00,00,00,
14842386,000000AA,false,Rx,0,8,AE,00,00,00,FF,FF,04,00,
14842854,000002F8,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,F2,
14843692,000000C4,false,Rx,0,7,00,80,FD,00,80,FC,FF,00,
14843887,000000BA,false,Rx,0,7,01,FF,0F,00,00,4D,82,00,
14844178,000000B5,false,Rx,0,8,88,04,80,00,08,0C,00,3A,
14844280,000001A2,false,Rx,0,2,00,00,00,00,00,00,00,00,
14844562,00000492,false,Rx,0,8,12,01,FF,FF,FF,FF,FF,FF,
14848163,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
