Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
40765288,00000480,false,Rx,0,8,00,01,FF,21,00,02,02,01,
40776879,000003B4,false,Rx,0,8,C0,03,09,53,FE,04,31,16,
40786474,00000192,false,Rx,0,4,6A,00,FF,F4,00,00,00,00,
40814914,000001D6,false,Rx,0,2,FF,3F,00,00,00,00,00,00,
40820058,00000130,false,Rx,0,5,00,EF,34,3F,CE,00,00,00,
40822832,000000C4,false,Rx,0,7,00,80,FD,00,80,0F,FF,00,
40824863,000001D6,false,Rx,0,2,FF,3F,00,00,00,00,00,00,
40832737,000000C4,false,Rx,0,7,00,80,FD,00,80,37,FF,00,
40835136,00000480,false,Rx,0,8,00,02,FF,21,01,00,02,01,
40841951,00000192,false,Rx,0,4,6A,00,FF,F6,00,00,00,00,
40842791,000000C4,false,Rx,0,7,00,80,FD,00,80,5F,FF,00,
40848954,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
40852737,000000C4,false,Rx,0,7,00,80,FD,00,80,87,FF,00,
40860395,00000130,false,Rx,0,5,80,EF,34,3F,60,00,00,00,
40863065,000000C4,false,Rx,0,7,00,80,FD,00,80,AF,FF,00,
40871444,00000192,false,Rx,0,4,6A,00,80,F7,00,00,00,00,
40872749,000000C4,false,Rx,0,7,00,80,FD,00,80,D7,FF,00,
40882734,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,FF,00,
40888866,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
40896193,000000B6,false,Rx,0,5,31,01,80,00,F8,00,00,00,
40896483,0000019E,false,Rx,0,8,FF,FB,0F,00,30,F3,FF,CE,
40896674,000000CE,false,Rx,0,8,00,80,00,80,00,80,00,80,
40896956,000002B2,false,Rx,0,6,FF,FF,FF,FF,05,80,00,00,
40897151,000001A0,false,Rx,0,8,FF,FF,00,08,80,00,18,42,
40899723,000000C4,false,Rx,0,7,00,80,FD,00,80,19,FF,00,
40900920,00000192,false,Rx,0,4,6A,00,80,F8,00,00,00,00,
40903033,000000C4,false,Rx,0,7,00,80,FD,00,80,98,FF,00,
40910087,00000130,false,Rx,0,5,80,EF,36,3F,91,00,00,00,
40913019,000000C4,false,Rx,0,7,00,80,FD,00,80,C0,FF,00,
40916048,000000B6,false,Rx,0,5,32,02,80,00,F8,00,00,00,
40916338,0000019E,false,Rx,0,8,FF,FB,0F,00,30,F3,FF,CE,
40916530,000000CE,false,Rx,0,8,00,80,00,80,00,80,00,80,
40916812,000002B2,false,Rx,0,6,FF,FF,FF,FF,05,80,00,00,
40917004,000001A0,false,Rx,0,8,FF,FF,00,08,80,00,28,52,
40917297,000004A9,false,Rx,0,8,29,01,FF,FF,FF,FF,FF,FF,
40923253,000000C4,false,Rx,0,7,00,80,FD,00,80,E8,FF,00,
40930438,00000192,false,Rx,0,4,6A,00,80,F9,00,00,00,00,
40932969,000000C4,false,Rx,0,7,00,80,FD,00,80,10,FF,00,
40936015,000000B6,false,Rx,0,5,33,03,80,00,F8,00,00,00,
40936209,0000019E,false,Rx,0,8,FF,FB,0F,00,30,F3,FF,CE,
40936500,000000CE,false,Rx,0,8,00,80,00,80,00,80,00,80,
40936693,000002B2,false,Rx,0,6,FF,FF,FF,FF,05,80,00,00,
40936977,000001A0,false,Rx,0,8,FF,FF,00,08,80,00,38,62,
40940850,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
40943068,000000C4,false,Rx,0,7,00,80,FD,00,80,38,FF,00,
40948961,000004AA,false,Rx,0,8,2A,01,FF,FF,FF,FF,FF,FF,
40953022,000000C4,false,Rx,0,7,00,80,FD,00,80,60,FF,00,
40956072,000000B6,false,Rx,0,5,34,04,80,00,F8,00,00,00,
40956283,0000019E,false,Rx,0,8,FF,FB,0F,00,30,F3,FF,CE,
40956567,000005A9,false,Rx,0,8,40,4A,00,00,FF,FF,FF,FF,
40956760,000000CE,false,Rx,0,8,00,80,00,80,00,80,00,80,
40956953,000002B2,false,Rx,0,6,FF,FF,FF,FF,05,80,00,00,
