Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5346951,00000480,false,Rx,0,8,00,01,FF,21,00,02,02,01,
5367609,00000192,false,Rx,0,4,6A,00,FF,F4,00,00,00,00,
5373588,000003B4,false,Rx,0,8,C0,03,09,53,FE,B1,33,16,
5394080,000001B5,false,Rx,0,6,FF,FF,02,00,C8,FF,00,00,
5401462,00000130,false,Rx,0,5,00,EF,34,3F,E1,00,00,00,
5416558,00000480,false,Rx,0,8,00,02,FF,21,00,00,02,01,
5421503,000001D6,false,Rx,0,2,FF,3F,00,00,00,00,00,00,
5422878,00000192,false,Rx,0,4,6A,00,FF,F6,00,00,00,00,
5429665,000000C4,false,Rx,0,7,00,80,FD,00,80,26,FF,00,
5430771,000001D6,false,Rx,0,2,FF,3F,00,00,00,00,00,00,
5439661,000000C4,false,Rx,0,7,00,80,FD,00,80,4E,FF,00,
5441771,00000130,false,Rx,0,5,80,EF,34,3F,82,00,00,00,
5449702,000000C4,false,Rx,0,7,00,80,FD,00,80,76,FF,00,
5453593,00000192,false,Rx,0,4,6A,00,E0,F7,00,00,00,00,
5455261,000001D6,false,Rx,0,2,C0,0C,00,00,00,00,00,00,
5456481,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
5459698,000000C4,false,Rx,0,7,00,80,FD,00,80,9E,FF,00,
5469619,000000C4,false,Rx,0,7,00,80,FD,00,80,C6,FF,00,
5477692,000000B6,false,Rx,0,5,31,01,80,00,F8,00,00,00,
5477975,0000019E,false,Rx,0,8,FF,FB,0F,00,30,F3,FF,CE,
5478170,000000CE,false,Rx,0,8,00,80,00,80,00,80,00,80,
5478369,000002B2,false,Rx,0,6,FF,FF,FF,FF,05,80,00,00,
5478652,000001A0,false,Rx,0,8,FF,FF,00,08,80,00,18,42,
5481413,000000C4,false,Rx,0,7,00,80,FD,00,80,CB,FF,00,
5483530,00000192,false,Rx,0,4,6A,00,80,F8,00,00,00,00,
5490371,000000C4,false,Rx,0,7,00,80,FD,00,80,F2,FF,00,
5491480,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
5491943,00000130,false,Rx,0,5,80,EF,36,3F,B3,00,00,00,
5497548,000000B6,false,Rx,0,5,32,02,80,00,F8,00,00,00,
5497740,0000019E,false,Rx,0,8,FF,FB,0F,00,30,F3,FF,CE,
5498023,000000CE,false,Rx,0,8,00,80,00,80,00,80,00,80,
5498217,000002B2,false,Rx,0,6,FF,FF,FF,FF,05,80,00,00,
5498507,000001A0,false,Rx,0,8,FF,FF,00,08,80,00,28,52,
5498700,000004A9,false,Rx,0,8,29,01,FF,FF,FF,FF,FF,FF,
5500351,000000C4,false,Rx,0,7,00,80,FD,00,80,19,FF,00,
5510511,000000C4,false,Rx,0,7,00,80,FD,00,80,43,FF,00,
5512442,00000192,false,Rx,0,4,6A,00,80,F9,00,00,00,00,
5517480,000000B6,false,Rx,0,5,33,03,80,00,F8,00,00,00,
5517762,0000019E,false,Rx,0,8,FF,FB,0F,00,30,F3,FF,CE,
5517953,000000CE,false,Rx,0,8,00,80,00,80,00,80,00,80,
5518146,000002B2,false,Rx,0,6,FF,FF,FF,FF,05,80,00,00,
5518435,000001A0,false,Rx,0,8,FF,FF,00,08,80,00,38,62,
5519901,000000C4,false,Rx,0,7,00,80,FD,00,80,69,FF,00,
5529884,000000C4,false,Rx,0,7,00,80,FD,00,80,91,FF,00,
5530075,000004AA,false,Rx,0,8,2A,01,FF,FF,FF,FF,FF,FF,
5537503,000000B6,false,Rx,0,5,34,04,80,00,F8,00,00,00,
5537784,0000019E,false,Rx,0,8,FF,FB,0F,00,30,F3,FF,CE,
5537975,000005A9,false,Rx,0,8,40,4A,00,00,FF,FF,FF,FF,
5538260,000000CE,false,Rx,0,8,00,80,00,80,00,80,00,80,
5538458,000002B2,false,Rx,0,6,FF,FF,FF,FF,05,80,00,00,
5538740,000001A0,false,Rx,0,8,FF,FF,00,08,80,00,48,72,
5539484,000000AE,false,Rx,0,6,70,00,80,50,C0,30,00,00,
5540128,000000C4,false,Rx,0,7,00,80,FD,00,80,B9,FF,00,
5541051,00000192,false,Rx,0,4,6A,00,80,FA,00,00,00,00,
5541432,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
5544087,00000130,false,Rx,0,5,41,43,35,3F,04,00,00,00,
5547575,00000380,false,Rx,0,7,44,44,37,38,35,35,37,00,
5549866,000000C4,false,Rx,0,7,00,80,FD,00,80,E1,FF,00,
5553541,00000388,false,Rx,0,7,01,01,68,25,F2,01,24,00,
5554013,0000023A,false,Rx,0,4,22,FF,00,FF,00,00,00,00,
5554939,000000A8,false,Rx,0,8,CC,00,00,00,00,0F,0F,06,
5555224,000000A9,false,Rx,0,8,A9,00,00,00,00,00,00,00,
5555514,000000AA,false,Rx,0,8,AE,00,00,00,FF,FF,04,00,
5556805,00000492,false,Rx,0,8,12,01,FF,FF,FF,FF,FF,FF,
5557553,000000B6,false,Rx,0,5,35,05,80,00,F8,00,00,00,
5557835,0000019E,false,Rx,0,8,FF,FB,0F,00,30,F3,FF,CE,
