Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2793396,000000BA,false,Rx,0,7,03,FF,0F,00,00,4E,81,00,
2793606,000000B5,false,Rx,0,8,AB,02,80,00,08,00,30,3B,
2793986,000001A2,false,Rx,0,2,00,00,00,00,00,00,00,00,
2798256,000000A8,false,Rx,0,8,A8,4E,FF,83,F9,1F,0F,06,
2798544,000000A9,false,Rx,0,8,CA,0E,98,2F,1E,B2,80,F9,
2798838,000000AA,false,Rx,0,8,45,2E,1B,00,36,02,81,97,
2801797,000000AE,false,Rx,0,6,12,48,06,91,80,03,00,00,
2801990,000000C4,false,Rx,0,7,00,80,FD,00,80,8C,FF,00,
2802643,000000B6,false,Rx,0,5,36,06,80,00,F8,00,00,00,
2802752,00000192,false,Rx,0,4,6A,00,80,FA,00,00,00,00,
2803036,0000019E,false,Rx,0,8,00,69,EF,04,32,40,00,6F,
2803321,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
2803520,000000B5,false,Rx,0,8,AC,03,80,00,08,00,30,3B,
2803621,000000CA,false,Rx,0,2,01,29,00,00,00,00,00,00,
2803822,000002B2,false,Rx,0,6,09,09,07,07,15,00,00,00,
2804106,000001A0,false,Rx,0,8,00,B0,00,00,00,FE,6F,C0,
2804299,000000CB,false,Rx,0,6,00,29,00,00,08,00,00,00,
2808283,000000A8,false,Rx,0,8,9A,40,FF,83,F9,1F,0F,06,
2808569,000000A9,false,Rx,0,8,BC,00,98,2F,1E,B2,80,F9,
2808770,000000AA,false,Rx,0,8,37,20,1B,00,36,02,81,97,
2811174,000000C4,false,Rx,0,7,00,80,FD,00,80,B1,FF,00,
2813122,00000194,false,Rx,0,4,71,F3,80,FC,00,00,00,00,
2813316,000000B5,false,Rx,0,8,AD,04,80,00,08,00,30,3B,
2813602,000000BA,false,Rx,0,7,03,FF,0F,00,00,4F,82,00,
2813711,000001A2,false,Rx,0,2,00,00,00,00,00,00,00,00,
2818322,000000A8,false,Rx,0,8,9B,41,FF,83,F9,1F,0F,06,
2818519,000000A9,false,Rx,0,8,BD,01,98,2F,1E,B2,80,F9,
2818812,000000AA,false,Rx,0,8,38,21,1B,00,36,02,81,97,
2821677,000000C4,false,Rx,0,7,00,80,FD,00,80,DB,FF,00,
2821878,000000AE,false,Rx,0,6,13,49,06,91,80,03,00,00,
2822730,000000B6,false,Rx,0,5,37,07,80,00,F8,00,00,00,
2822924,0000019E,false,Rx,0,8,00,69,EF,04,32,40,00,6F,
2823208,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
2823402,000000B5,false,Rx,0,8,AE,05,80,00,08,00,30,3B,
2823596,000000CA,false,Rx,0,2,00,2A,00,00,00,00,00,00,
2823796,000002B2,false,Rx,0,6,09,09,07,07,05,00,00,00,
